title,count
Chou Yuu Sekai: Being the Reality,1
Berserk: Ougon Jidai-hen III - Kourin,2
Maou-jou de Oyasumi,5
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,1
Getsuyoubi no Tawawa 2,4
Kurokami The Animation,1
Euphoria,1
Bishoujo Senshi Sailor Moon S,2
Cool Doji Danshi,8
Wonder Egg Priority,5
"Ore, Twintail ni Narimasu.",1
Project A-Ko,1
Boy Meets Harem The Animation,1
Sky Girls Specials,2
Shingetsutan Tsukihime,2
ACCA: 13-ku Kansatsu-ka,1
Gyakuten Sekai no Denchi Shoujo,5
Hiiro no Kakera,1
Tian Bao Fuyao Lu,2
Kakushigoto Movie,1
Shokei Shoujo no Virgin Road,3
Nande Koko ni Sensei ga!?,3
Manaria Friends,2
Jashin-chan Dropkick X,7
"Maou-sama, Retry!",2
Ni Zhuan Ci Yuan: AI Jue Qi,1
Kemono Jihen,3
Wo Qi Ku Le Baiwan Xiulian Zhe,1
Tonari no Ie no Anette-san The Animation,1
Animegataris,1
Tanoshii Muumin Ikka,1
Bubble,3
Otome wa Boku ni Koishiteru,1
Akira,10
Hinomaruzumou,1
Sankaku Mado no Sotogawa wa Yoru,7
Initial D Extra Stage,1
Re-Main,8
Akagami no Shirayuki-hime,2
Kidou Senshi Gundam 00,1
3x3 Eyes: Seima Densetsu,1
"Kimi to, Nami ni Noretara",3
Gyokou no Nikuko-chan,2
Hachimitsu to Clover,2
Feng Wei Ying Xiong,1
Mainichi ga Nichiyoubi,1
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,1
Yi Nian Yong Heng: Chuan Cheng Pian,3
Waccha PriMagi!,3
Rokudenashi Majutsu Koushi to Akashic Records,2
Oyakodon: Oppai Tokumori Bonyuu Tsuyudaku de,1
Fire Emblem Heroes: Chibi Playhouse,1
Death Note,36
New Initial D Movie: Legend 1 - Kakusei,1
SmaSTATION-3 SMAnime,1
Kingdom 4th Season,3
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2
